Path,Name,Size (bytes),Size (human),Modified,Accessed,Created,Age (days),Last Access (days),Extension,Risk Score,Category,Duplicate Group
/Users/hendrikaucamp/pictures/Photos Library.photoslibrary/database/protection,protection,0,0B,2025-03-20 20:46:25.829000,2025-03-20 20:46:25.829000,2025-06-01 22:18:06.193922,149,149,,57.08,Duplicate Files,Group_e3b0c442
/Users/hendrikaucamp/pictures/Photos Library.photoslibrary/resources/journals/Album-change.plj,Album-change.plj,0,0B,2025-03-20 20:46:38.900790,2025-03-20 20:46:38.900790,2025-06-01 22:18:09.785158,149,149,.plj,57.08,Duplicate Files,Group_e3b0c442
/Users/hendrikaucamp/pictures/Photos Library.photoslibrary/resources/journals/ProjectAlbum-change.plj,ProjectAlbum-change.plj,0,0B,2025-03-20 20:46:38.903583,2025-03-20 20:46:38.903583,2025-06-01 22:18:09.797087,149,149,.plj,57.08,Duplicate Files,Group_e3b0c442
/Users/hendrikaucamp/pictures/Photos Library.photoslibrary/resources/journals/Keyword-change.plj,Keyword-change.plj,0,0B,2025-03-20 20:46:38.913989,2025-03-20 20:46:38.913989,2025-06-01 22:18:09.886037,149,149,.plj,57.08,Duplicate Files,Group_e3b0c442
/Users/hendrikaucamp/pictures/Photos Library.photoslibrary/resources/journals/DeferredRebuildFace-change.plj,DeferredRebuildFace-change.plj,0,0B,2025-03-20 20:46:38.911675,2025-03-20 20:46:38.911675,2025-06-01 22:18:09.898016,149,149,.plj,57.08,Duplicate Files,Group_e3b0c442
/Users/hendrikaucamp/pictures/Photos Library.photoslibrary/resources/journals/FetchingAlbum-change.plj,FetchingAlbum-change.plj,0,0B,2025-03-20 20:46:38.914703,2025-03-20 20:46:38.914703,2025-06-01 22:18:09.945597,149,149,.plj,57.08,Duplicate Files,Group_e3b0c442
/Users/hendrikaucamp/pictures/Photos Library.photoslibrary/private/com.apple.photolibraryd/caches/CreateDatabase_20250320-034622-07:00,CreateDatabase_20250320-034622-07:00,0,0B,2025-03-20 20:46:22.050403,2025-03-20 20:46:22.050403,2025-06-01 22:18:12.498518,149,149,,57.08,Duplicate Files,Group_e3b0c442
/Users/hendrikaucamp/pictures/Photos Library.photoslibrary/private/com.apple.photolibraryd/caches/libraryavailable,libraryavailable,0,0B,2025-03-20 20:46:33.712688,2025-03-20 20:46:33.712688,2025-06-01 22:18:12.504234,149,149,,57.08,Duplicate Files,Group_e3b0c442
/Users/hendrikaucamp/pictures/Photos Library.photoslibrary/private/com.apple.photoanalysisd/caches/graph/ftemetrics,ftemetrics,0,0B,2025-03-21 02:35:18.926456,2025-03-21 02:35:18.926456,2025-06-01 22:18:12.701369,149,149,,57.08,Duplicate Files,Group_e3b0c442
/Users/hendrikaucamp/pictures/Photos Library.photoslibrary/private/com.apple.photoanalysisd/caches/graph/PhotosGraph/photosgraph.kgdb.lock,photosgraph.kgdb.lock,0,0B,2025-03-21 06:41:55.355221,2025-03-21 06:41:55.355221,2025-06-01 22:18:12.793541,149,149,.lock,57.08,Duplicate Files,Group_e3b0c442
